"Step","DanielSc4/falcon-7b-instruct-FT-LoRA-8bit-test12023-06-27_18:09:48.554741 - train/loss","DanielSc4/falcon-7b-instruct-FT-LoRA-8bit-test12023-06-27_18:09:48.554741 - train/loss__MIN","DanielSc4/falcon-7b-instruct-FT-LoRA-8bit-test12023-06-27_18:09:48.554741 - train/loss__MAX","DanielSc4/RedPajama-INCITE-Chat-3B-v1-FT-LoRA-8bit-test12023-06-26_00:25:41.206933 - train/loss","DanielSc4/RedPajama-INCITE-Chat-3B-v1-FT-LoRA-8bit-test12023-06-26_00:25:41.206933 - train/loss__MIN","DanielSc4/RedPajama-INCITE-Chat-3B-v1-FT-LoRA-8bit-test12023-06-26_00:25:41.206933 - train/loss__MAX"
"0","3.2268","3.2268","3.2268","2.6468","2.6468","2.6468"
"1","2.9252","2.9252","2.9252","2.6385","2.6385","2.6385"
"2","2.3646","2.3646","2.3646","2.4867","2.4867","2.4867"
"3","2.1557","2.1557","2.1557","2.2394","2.2394","2.2394"
"4","2.0691","2.0691","2.0691","2.1628","2.1628","2.1628"
"5","2.0406","2.0406","2.0406","2.1008","2.1008","2.1008"
"6","1.9427","1.9427","1.9427","2.1084","2.1084","2.1084"
"7","1.9141","1.9141","1.9141","2.0347","2.0347","2.0347"
"8","1.847","1.847","1.847","2.0017","2.0017","2.0017"
"9","1.8292","1.8292","1.8292","2.0436","2.0436","2.0436"
"10","1.7893","1.7893","1.7893","2.0481","2.0481","2.0481"
"11","1.7282","1.7282","1.7282","1.9781","1.9781","1.9781"
"12","1.7105","1.7105","1.7105","2.0162","2.0162","2.0162"
"13","1.6879","1.6879","1.6879","1.9797","1.9797","1.9797"
"14","1.6557","1.6557","1.6557","2.01","2.01","2.01"
"15","1.6357","1.6357","1.6357","1.9368","1.9368","1.9368"
"16","1.618","1.618","1.618","1.9168","1.9168","1.9168"
"17","1.5717","1.5717","1.5717","1.936","1.936","1.936"
"18","1.5378","1.5378","1.5378","1.9402","1.9402","1.9402"
"19","1.5166","1.5166","1.5166","1.9246","1.9246","1.9246"
"21","1.4639","1.4639","1.4639","1.9044","1.9044","1.9044"
"22","1.4595","1.4595","1.4595","1.8808","1.8808","1.8808"
"23","1.4605","1.4605","1.4605","1.9439","1.9439","1.9439"
"24","1.3207","1.3207","1.3207","1.9058","1.9058","1.9058"
"25","1.2496","1.2496","1.2496","1.8652","1.8652","1.8652"
"26","1.2713","1.2713","1.2713","1.8534","1.8534","1.8534"
"27","1.2369","1.2369","1.2369","1.8517","1.8517","1.8517"
"28","1.2281","1.2281","1.2281","1.7913","1.7913","1.7913"
"29","1.2195","1.2195","1.2195","1.7952","1.7952","1.7952"
"30","1.1612","1.1612","1.1612","1.8052","1.8052","1.8052"
"31","1.1708","1.1708","1.1708","1.7941","1.7941","1.7941"
"32","1.1457","1.1457","1.1457","1.8247","1.8247","1.8247"
"33","1.1476","1.1476","1.1476","1.7754","1.7754","1.7754"
"34","1.0804","1.0804","1.0804","1.738","1.738","1.738"
"35","1.1576","1.1576","1.1576","1.758","1.758","1.758"
"36","1.1166","1.1166","1.1166","1.7828","1.7828","1.7828"
"37","1.0881","1.0881","1.0881","1.7972","1.7972","1.7972"
"38","1.0565","1.0565","1.0565","1.6717","1.6717","1.6717"
"39","1.0939","1.0939","1.0939","1.7612","1.7612","1.7612"
"40","1.0449","1.0449","1.0449","1.7451","1.7451","1.7451"
"42","1.0332","1.0332","1.0332","1.6485","1.6485","1.6485"
"43","1.0091","1.0091","1.0091","1.7368","1.7368","1.7368"
"44","1.0268","1.0268","1.0268","1.6527","1.6527","1.6527"
"45","1.0037","1.0037","1.0037","1.6837","1.6837","1.6837"
"46","0.972","0.972","0.972","1.6889","1.6889","1.6889"
"47","0.9832","0.9832","0.9832","1.6118","1.6118","1.6118"
"48","0.9448","0.9448","0.9448","1.6175","1.6175","1.6175"
"49","0.7447","0.7447","0.7447","1.5566","1.5566","1.5566"
"50","0.7475","0.7475","0.7475","1.5406","1.5406","1.5406"
"51","0.7368","0.7368","0.7368","1.4444","1.4444","1.4444"
"52","0.7267","0.7267","0.7267","1.5659","1.5659","1.5659"
"53","0.7436","0.7436","0.7436","1.5119","1.5119","1.5119"
"54","0.7427","0.7427","0.7427","1.4595","1.4595","1.4595"
"55","0.7302","0.7302","0.7302","1.5108","1.5108","1.5108"
"56","0.7289","0.7289","0.7289","1.4776","1.4776","1.4776"
"57","0.7012","0.7012","0.7012","1.5103","1.5103","1.5103"
"58","0.7147","0.7147","0.7147","1.4661","1.4661","1.4661"
"59","0.6841","0.6841","0.6841","1.4452","1.4452","1.4452"
"60","0.6981","0.6981","0.6981","1.4607","1.4607","1.4607"
"61","0.6828","0.6828","0.6828","1.4177","1.4177","1.4177"
"63","0.6822","0.6822","0.6822","1.4307","1.4307","1.4307"
"64","0.6726","0.6726","0.6726","1.4278","1.4278","1.4278"
"65","0.6773","0.6773","0.6773","1.4212","1.4212","1.4212"
"66","0.6813","0.6813","0.6813","1.4678","1.4678","1.4678"
"67","0.6604","0.6604","0.6604","1.4026","1.4026","1.4026"
"68","0.6576","0.6576","0.6576","1.3649","1.3649","1.3649"
"69","0.6494","0.6494","0.6494","1.4695","1.4695","1.4695"
"70","0.6273","0.6273","0.6273","1.3686","1.3686","1.3686"
"71","0.6736","0.6736","0.6736","1.3514","1.3514","1.3514"
"72","0.6291","0.6291","0.6291","1.3716","1.3716","1.3716"
"73","","","","1.3392","1.3392","1.3392"
"74","","","","1.3486","1.3486","1.3486"
"75","","","","1.3595","1.3595","1.3595"
"76","","","","1.3413","1.3413","1.3413"
"77","","","","1.3263","1.3263","1.3263"
"78","","","","1.2948","1.2948","1.2948"
"79","","","","1.2771","1.2771","1.2771"
"80","","","","1.3246","1.3246","1.3246"
"81","","","","1.2249","1.2249","1.2249"
"82","","","","1.2955","1.2955","1.2955"
"84","","","","1.3215","1.3215","1.3215"
"85","","","","1.2956","1.2956","1.2956"
"86","","","","1.3048","1.3048","1.3048"
"87","","","","1.3175","1.3175","1.3175"
"88","","","","1.2707","1.2707","1.2707"
"89","","","","1.2833","1.2833","1.2833"
"90","","","","1.254","1.254","1.254"
"91","","","","1.2131","1.2131","1.2131"
"92","","","","1.2216","1.2216","1.2216"
"93","","","","1.2282","1.2282","1.2282"
"94","","","","1.1451","1.1451","1.1451"
"95","","","","1.1979","1.1979","1.1979"
"96","","","","1.1248","1.1248","1.1248"
"97","","","","1.1078","1.1078","1.1078"
"98","","","","1.0413","1.0413","1.0413"
"99","","","","1.125","1.125","1.125"
"100","","","","0.9811","0.9811","0.9811"
"101","","","","0.9701","0.9701","0.9701"
"102","","","","1.0201","1.0201","1.0201"
"103","","","","0.9928","0.9928","0.9928"
